Location[a],Location[a].1,Cases[b],Deaths[c],Recov.[d],Ref.
,United States[e],2090553,116347,645606,[9]
,Brazil[f],829902,41901,396692,[13][14]
,Russia[g],520129,6829,274641,[15]
,India,308993,8884,154330,[16]
,United Kingdom[h],292950,41481,No data,[18][19]
,Spain[i],243209,27136,150376,[20]
,Italy,236305,34223,173085,[21][22]
,Peru,220749,6308,107133,[23][24]
,Germany[j],187251,8863,171522,[26][25]
,Iran,184955,8730,146748,[27]
,Turkey,175218,4778,149102,[28]
,Chile[k],160846,2870,No data,[29]
,France[l],156287,29374,72572,[30]
,Mexico,139196,16448,101767,[31][32]
,Pakistan,132405,2551,50056,[33]
,Saudi Arabia,119942,893,81029,[34]
,Canada,97943,8049,58523,[35]
,Bangladesh,84379,1139,17827,[36]
,China[m],83075,4634,78367,[37]
,Qatar,76588,70,53296,[38]
,South Africa,61927,1354,35006,[39]
,Belgium[n],59918,9650,16547,[41]
,Belarus,52520,298,27760,[42]
,Sweden,49684,4854,No data,[43]
,Netherlands[o],48461,6053,No data,[45]
,Colombia,46858,1545,18715,[46]
,Ecuador,45778,3828,4600,[47]
,United Arab Emirates,41499,287,25946,[48]
,Egypt[p],41303,1422,11108,[49]
,Singapore,40197,25,28040,[50][51]
,Indonesia,37420,2091,13776,[52]
,Portugal,36180,1505,22200,[53]
,Kuwait,35466,289,25882,[54]
,Switzerland,31094,1677,28800,[55][56]
,Ukraine[q],30506,880,13976,[57]
,Poland,29017,1237,14104,[58][59]
,Argentina[r],28751,785,8730,[61]
,Philippines,25392,1074,5706,[62][63]
,Ireland,25250,1705,23213,[64][65]
,Afghanistan,24102,451,4201,[66]
,Oman,22077,99,7530,[67]
,Dominican Republic,22008,568,12754,[68]
,Romania,21679,1394,15635,[69]
,Israel[s],18876,300,15319,[70]
,Panama,18568,418,10977,[71]
,Iraq,17770,496,6868,[72]
,Bahrain,17713,37,12191,[73]
,Japan[t],17382,924,15580,[74]
,Austria,17078,677,16012,[75]
,Bolivia,16929,559,2431,[76]
,Armenia,16004,264,6081,[77]
,Nigeria,15181,399,4891,[78]
,Kazakhstan,14238,70,8829,[79]
,Serbia[u],12175,252,11348,[80]
,Denmark[v],12099,594,10993,[81]
,South Korea,12051,277,10691,[82]
,Ghana,11118,48,3979,[83]
,Moldova[w],11093,385,6229,[84]
,Algeria,10698,751,7322,[85][86]
,Czech Republic,9942,328,7215,[87]
,Azerbaijan[x],9218,113,5113,[88]
,Guatemala,8982,351,1702,[89]
,Morocco[y],8683,212,7664,[91]
,Cameroon,8681,208,4836,[92][93]
,Norway[z],8620,242,8138,[96]
,Malaysia,8445,120,7311,[97]
,Honduras,8132,306,844,[98]
,Australia[aa],7300,102,6812,[99]
,Finland[ab],7087,325,6200,[100]
,Sudan,6879,433,2416,[102]
,Puerto Rico,5536,146,850,[103][9]
,Nepal,5062,16,877,[104][105]
,Tajikistan,4902,49,3158,[106]
,Uzbekistan,4901,19,3758,[107]
,Senegal,4851,52,3100,[108]
,DR Congo[ac],4724,106,595,[109]
,Ivory Coast,4684,45,2263,[110]
,Djibouti,4441,38,2730,[111]
,Guinea,4426,24,3106,[112]
,Luxembourg,4055,110,3918,[113]
,Hungary,4064,559,2476,[114]
,Haiti,3941,64,24,[115]
,North Macedonia,3701,171,1694,[116][117]
,El Salvador,3603,72,1738,[118]
,Gabon,3463,22,1024,[119]
,Kenya,3305,96,1164,[120]
,Bulgaria,3191,172,1716,[121]
,Ethiopia,3183,55,495,[122]
,Thailand,3129,58,2987,[123]
,Greece,3108,183,1374,[124]
,Bosnia and Herzegovina,2893,163,2119,[125]
,Venezuela,2879,23,487,[126][127]
,Somalia[ad],2513,85,532,[128]
,Croatia,2249,107,2133,[129]
,Cuba[ae],2233,84,1902,[130]
,Kyrgyzstan,2207,27,1722,[131]
,Central African Republic,2044,7,360,[132]
,Maldives,2003,8,1193,[133]
,Estonia,1973,69,1705,[134]
,Sri Lanka,1880,11,1196,[135]
,Iceland,1807,10,1794,[136]
,Lithuania,1763,75,1416,[137]
,Mali,1752,101,1023,[138]
,South Sudan,1670,24,48,[139][140]
,Costa Rica,1612,12,731,[141]
,Mauritania,1572,81,278,[142]
,Slovakia,1545,28,1410,[143]
,Slovenia,1490,109,1359,[144][145]
,Nicaragua,1464,55,953,[58][146][147]
,Albania,1464,36,1039,[148]
,Guinea-Bissau,1460,15,153,[149]
,Lebanon,1422,31,853,[150]
,Kosovo,1326,31,921,[151]
,Zambia,1321,10,1104,[152][153]
,Equatorial Guinea,1306,12,200,[154]
,Paraguay,1254,11,633,[155]
,Madagascar,1240,10,344,[156]
,New Zealand[af],1154,22,1132,[157]
,Hong Kong,1109,4,1060,[158]
,Sierra Leone,1103,51,648,[159][160]
